ID,MEDV
0 , 21.879305991
1 , 26.104265074
2 , 15.085320625
3 , 19.888029573
4 , 21.763343757
5 , 21.975495095
6 , 19.245781678
7 , 22.711969039
8 , 34.128237320
9 , 19.124290486
10 , 25.356821097
11 , 24.336563387
12 , 21.942029110
13 , 18.773475728
14 , 23.658412664
15 , 24.228594249
16 , 16.977959388
17 , 26.325523585
18 , 20.680071608
19 , 23.486783931
20 , 25.223937090
21 , 36.988650232
22 , 23.127739011
23 , 9.644176518
24 , 14.545853849
25 , 7.801155613
26 , 17.656119389
27 , 21.241163024
28 , 22.714812849
29 , 14.385824044
30 , 37.466622917
31 , 19.786412208
32 , 20.186353261
33 , 17.849664076
34 , 24.045353055
35 , 21.251134920
36 , 28.866883279
37 , 30.253499261
38 , 39.822148554
39 , 27.298491190
40 , 17.725689726
41 , 31.004803642
42 , 24.478439221
43 , 18.860252889
44 , 22.337304736
45 , 26.094967831
46 , 19.322234540
47 , 24.858131018
48 , 14.944125205
49 , 14.209689253
50 , 20.406275678
51 , 34.804395237
52 , 22.752495788
53 , -5.287027882
54 , 12.040709980
55 , 17.073840962
56 , 20.197116512
57 , 12.677565558
58 , 10.035823918
59 , 19.878895379
60 , 19.836019817
61 , 19.079378610
62 , 37.238160225
63 , 22.962031441
64 , 36.130273579
65 , 31.423938077
66 , 15.886055401
67 , 20.644608611
68 , 25.682100627
69 , 15.699877149
70 , 20.362879207
71 , 18.148560543
72 , 28.228241902
73 , 12.903052739
74 , 21.057968885
75 , 15.301676849
76 , 19.846089731
77 , 28.743841787
78 , 20.369945161
79 , 31.601910420
80 , 30.953198681
81 , 44.643011556
82 , 27.616105554
83 , 29.381961605
84 , 18.821958665
85 , 33.238797418
86 , 17.110261988
87 , 28.196219338
88 , 16.306374667
89 , 20.061874283
90 , 16.185549161
91 , 20.180401158
92 , 14.571992767
93 , 21.067543900
94 , 20.266216305
95 , 24.083807310
96 , 34.824483007
97 , 1.795765100
98 , 14.295392674
99 , 27.544423507
100 , 25.871577205
101 , 16.971722132
102 , 28.164083267
103 , 33.145279608
104 , 12.100973900
