ID,MEDV
0 , 21.930315937
1 , 26.114828298
2 , 15.023106198
3 , 19.859494832
4 , 21.772756870
5 , 21.973773172
6 , 19.242810695
7 , 22.656526676
8 , 34.136894621
9 , 19.117170011
10 , 25.369137786
11 , 24.279202255
12 , 21.921863059
13 , 18.765638918
14 , 23.704656857
15 , 24.359671547
16 , 16.960580517
17 , 26.296497361
18 , 20.731710141
19 , 23.571919369
20 , 25.221498392
21 , 36.960245882
22 , 23.214128350
23 , 9.682825289
24 , 14.574763265
25 , 7.830690659
26 , 17.702330125
27 , 21.250699405
28 , 22.720518496
29 , 14.465289596
30 , 37.407338961
31 , 19.808328554
32 , 20.269219748
33 , 17.898799960
34 , 24.087358372
35 , 21.225520151
36 , 28.899446609
37 , 30.272838866
38 , 39.747065223
39 , 27.197866825
40 , 17.656314475
41 , 30.884433368
42 , 24.478526749
43 , 18.912059507
44 , 22.328875540
45 , 26.101343140
46 , 19.233008369
47 , 24.882385851
48 , 14.960224863
49 , 14.226983077
50 , 20.430699347
51 , 34.802838155
52 , 22.651214726
53 , -5.289035147
54 , 12.013634679
55 , 17.094688977
56 , 20.216274625
57 , 12.682604073
58 , 9.964885193
59 , 19.942671931
60 , 19.823361701
61 , 19.112738141
62 , 37.128848783
63 , 22.996838680
64 , 36.117933653
65 , 31.406133815
66 , 15.863537540
67 , 20.690113408
68 , 25.717336935
69 , 15.732936489
70 , 20.385304109
71 , 18.247624093
72 , 28.252079727
73 , 12.855657112
74 , 21.043058059
75 , 15.318008582
76 , 19.828299119
77 , 28.811183590
78 , 20.436196848
79 , 31.653431649
80 , 30.997023390
81 , 44.515022997
82 , 27.620837571
83 , 29.310593368
84 , 18.860308926
85 , 33.254751425
86 , 17.085430568
87 , 28.229456679
88 , 16.295083151
89 , 20.112755907
90 , 16.114849971
91 , 20.183140426
92 , 14.531894559
93 , 21.085580856
94 , 20.331180354
95 , 24.065639428
96 , 34.833563782
97 , 1.777654359
98 , 14.265621106
99 , 27.526166468
100 , 25.797597722
101 , 17.016597574
102 , 28.106778954
103 , 33.089329266
104 , 12.217288769
